VBB-Nr;HAFAS-Nr;NAME;KOORDINATE_Y;KOORDINATE_X;lat;lon
1103;9001103;Berlin, Wiebestr./Huttenstr.;5822508;4589702;52528315;13320255
1132;9001132;Berlin, Waltersdorfer Str./Krumme Str.;5808457;4607302;52398914;13574981
1133;9001133;Berlin, Dahmestr.;5808736;4607035;52401472;13571149
1151;9001151;Berlin, Reuchlinstr.;5822466;4589932;52527900;13323632
1152;9001152;Berlin, Neues Ufer;5822590;4589410;52529100;13315976
1154;9001154;Berlin, Ilsenburger Str.;5822210;4589000;52525753;13309834
1155;9001155;Berlin, Goslarer Platz;5822220;4589300;52525793;13314256
1200;9001200;Berlin, FennbrŸcke;5823681;4592443;52538396;13360958
1201;9001201;S+U Westhafen (Berlin);5823450;4591210;52536528;13342727
1202;9001202;Berlin, Am Nordhafen;5823735;4592622;52538850;13363610
1203;9001203;Berlin, Dšberitzer Str.;5822760;4592990;52530028;13368760
1204;9001204;Berlin, Lehrter Str./Invalidenstr.;5822281;4592759;52525764;13365223
1205;9001205;Berlin, Hamburger Bahnhof;5822490;4593290;52527552;13373103
1252;9001252;Berlin, Friedrich-Krause-Ufer;5823497;4592464;52536739;13361216
2101;9002101;Berlin, Turmstr./Waldstr.;5822386;4590395;52527104;13330430
2102;9002102;Berlin, Turmstr./Beusselstr.;5822410;4590280;52527339;13328743
2151;9002151;Berlin, Wittstocker Str.;5822801;4590257;52530856;13328510
2152;9002152;Berlin, Oldenburger Str.;5822347;4590771;52526692;13335958
2200;9002200;Berlin, Quitzowstr.;5823330;4592140;52535294;13356396
2201;9002201;U Birkenstr. (Berlin);5822970;4591130;52532229;13341417
2202;9002202;Berlin, Wilsnacker Str.;5822330;4591820;52526363;13351406
2203;9002203;Berlin, Stendaler Str.;5823007;4591748;52532458;13350532
2204;9002204;Berlin, Perleberger BrŸcke;5823336;4592251;52535329;13358033
2205;9002205;Berlin, Turmstr./LŸbecker Str.;5822310;4591420;52526251;13345508
2206;9002206;Berlin, Turmstr./Rathenower Str.;5822370;4592050;52526684;13354805
2207;9002207;Berlin, Stromstr.;5822635;4591312;52529189;13344006
2254;9002254;Berlin, Birkenstr./Rathenower Str.;5822698;4591915;52529654;13352907
2255;9002255;Berlin, Seydlitzstr.;5822421;4592684;52527035;13364158
2256;9002256;Berlin, Poststadion;5822780;4592560;52530281;13362431
2257;9002257;Berlin, Kruppstr.;5823122;4592364;52533387;13359639
2258;9002258;Berlin, Havelberger Str.;5822844;4591557;52531025;13347673
3101;9003101;U Hansaplatz (Berlin);5821400;4591210;52518111;13342165
3102;9003102;S Bellevue (Berlin);5821590;4591530;52519764;13346930
3103;9003103;S Tiergarten (Berlin);5820980;4590831;52514400;13336469
3104;9003104;U Turmstr. (Berlin);5822260;4591210;52525837;13342401
3105;9003105;Berlin, Bachstr.;5821451;4591033;52518598;13339573
3107;9003107;Berlin, Alt-Moabit/Gotzkowskystr.;5822032;4590365;52523929;13329892
3152;9003152;Berlin, Solinger Str.;5821663;4590768;52520547;13335728
3155;9003155;Berlin, Rathaus Tiergarten;5822281;4590990;52526062;13339166
3156;9003156;Berlin, Ottostr.;5822122;4590705;52524681;13334925
3181;9003181;Berlin, Zinzendorfstr.;5821844;4590478;52522221;13331506
3200;9003200;S+U Berlin Hauptbahnhof (tief);5822206;4593043;52525042;13369386
3201;9003201;S+U Berlin Hauptbahnhof;5822295;4593010;52525847;13368924
3202;9003202;Berlin, Kirchstr./Alt-Moabit;5822125;4591700;52524542;13349581
3203;9003203;Berlin, Alt-Moabit/Rathenower Str.;5822040;4592210;52523692;13357070
3204;9003204;Berlin, Kleiner Tiergarten;5822170;4591440;52524990;13345764
3205;9003205;Berlin, Washingtonplatz/Hauptbahnhof;5822088;4593135;52523966;13370708
3251;9003251;Berlin, Paulstr.;5821635;4592122;52520069;13355662
3252;9003252;Berlin, Schloss Bellevue;5821260;4592030;52516715;13354203
3253;9003253;Berlin, Haus der Kulturen der Welt;5821370;4592650;52517598;13363364
3254;9003254;U Bundestag (Berlin);5821640;4593330;52519908;13373454
3256;9003256;Berlin, Spenerstr.;5822070;4591970;52524002;13353543
3257;9003257;Berlin, Claire-Waldoff-Promenade;5822070;4592500;52523913;13361350
3260;9003260;Berlin, Bundeskanzleramt;5821730;4593175;52520743;13371197
4101;9004101;Berlin, Gro§er Stern;5821080;4591760;52515143;13350177
4104;9004104;Berlin, Reichstag/Bundestag;5821400;4593540;52517716;13376480
4105;9004105;Berlin, Platz der Republik;5821400;4593130;52517786;13370442
4151;9004151;Berlin, Nordische Botschaften/Adenauer-Stiftung;5820464;4591855;52509593;13351406
4181;9004181;Berlin, Hertzallee;5820400;4590580;52509231;13332615
5101;9005101;Berlin, Budapester Str.;5820120;4591472;52506567;13345672
5102;9005102;Berlin, CorneliusbrŸcke;5820241;4591673;52507620;13348665
5103;9005103;Berlin, Schillstr.;5819740;4591768;52503103;13349926
5104;9005104;Berlin, KurfŸrstenstr.;5819574;4592165;52501545;13355725
5105;9005105;Berlin, LŸtzowplatz;5819942;4591875;52504900;13351557
5150;9005150;Berlin, Tiergartenstr.;5820500;4592517;52509805;13361164
5152;9005152;Berlin, GedenkstŠtte Dt. Widerstand;5820050;4592670;52505736;13363292
5154;9005154;Berlin, Kšbisstr.;5820200;4592190;52507165;13356266
5155;9005155;Berlin, Hiroshimasteg;5820119;4592240;52506429;13356980
5156;9005156;Berlin, Bayreuther Str.;5819880;4591360;52504430;13343958
5201;9005201;U KurfŸrstenstr. (Berlin);5819390;4592650;52499810;13362814
5202;9005202;Berlin, LŸtzowstr./Potsdamer Str.;5819796;4592859;52503422;13366003
5205;9005205;Berlin, Potsdamer BrŸcke;5820080;4593010;52505948;13368306
5206;9005206;Berlin, Philharmonie;5820592;4593067;52510538;13369288
5208;9005208;Berlin, Varian-Fry-Str.;5820460;4593410;52509293;13374302
5252;9005252;U Mendelssohn-Bartholdy-Park (Berlin);5819850;4593450;52503806;13374719
5253;9005253;Berlin, Schšneberger BrŸcke;5819690;4593659;52502333;13377751
5255;9005255;Berlin, Kulturforum;5820261;4593066;52507564;13369181
6100;9006100;S Wollankstr./Sternstr. (Berlin);5826720;4594460;52565352;13391540
6102;9006102;Berlin, Prinzenallee/Soldiner Str.;5825968;4594115;52558656;13386241
6103;9006103;Berlin, Residenzstr./Reginhardstr.;5826113;4593046;52560142;13370523
6104;9006104;Berlin, Soldiner Str./Koloniestr.;5826120;4593760;52560083;13381050
6105;9006105;Berlin, VerlŠngerte Koloniestr.;5826955;4593988;52567545;13384648
6153;9006153;Berlin, St.-Elisabeth-Kirchhof;5826175;4594214;52560498;13387759
7102;9007102;S+U Gesundbrunnen Bhf (Berlin);5824900;4594258;52549036;13388045
7103;9007103;U Voltastr. (Berlin);5824116;4594620;52541930;13393157
7104;9007104;S Nordbahnhof (Berlin);5822990;4594300;52531870;13388123
7105;9007105;Berlin, Wolliner Str.;5823887;4595211;52539770;13401800
7106;9007106;Berlin, Usedomer Str./Feldstr.;5823808;4594217;52539233;13387132
7107;9007107;Berlin, Ruppiner Str.;5823807;4595021;52539085;13398978
7108;9007108;S Nordbahnhof/Gartenstr. (Berlin);5823155;4594254;52533360;13387492
7110;9007110;U Bernauer Str. (Berlin);5823682;4594837;52537994;13396231
7111;9007111;Berlin, Lortzingstr.;5824388;4595023;52544304;13399173
7112;9007112;Berlin, Gartenplatz;5823714;4594025;52538422;13384276
7113;9007113;Berlin, Theodor-Heuss-Weg;5823330;4594140;52534952;13385862
7114;9007114;Berlin, Gartenstr./Feldstr.;5823502;4593998;52536522;13383818
7150;9007150;Berlin, GedenkstŠtte Berliner Mauer;5823419;4594452;52535698;13390484
7152;9007152;Berlin, JŸlicher Str.;5825020;4594430;52550085;13390614
7153;9007153;Berlin, Ramlerstr.;5824730;4594700;52547433;13394511
7154;9007154;Berlin, Demminer Str.;5824200;4595044;52542611;13399429
7155;9007155;Berlin, Gleimstr.;5824580;4594945;52546042;13398079
7156;9007156;Berlin, SwinemŸnder Str.;5824566;4594731;52545954;13394921
7157;9007157;Berlin, RŸgener Str.;5824456;4594453;52545014;13390793
7158;9007158;Berlin, Brunnenstr./Ramlerstr.;5824680;4594350;52547044;13389339
7159;9007159;Berlin, Humboldtsteg;5824709;4593851;52547391;13381993
7160;9007160;Berlin, GrŸntaler Str.;5825607;4594431;52555358;13390796
7181;9007181;Berlin, Usedomer Str.;5823887;4594374;52539916;13389467
8101;9008101;S Humboldthain (Berlin);5824410;4593635;52544742;13378726
8102;9008102;U Reinickendorfer Str. (Berlin);5823860;4593080;52539895;13370393
8103;9008103;Berlin, Nettelbeckplatz/S Wedding;5824391;4593056;52544670;13370188
8104;9008104;U Reinickendorfer Str./Fennstr. (Berlin);5824040;4593010;52541524;13369412
8106;9008106;Berlin, Brunnenplatz;5825010;4593574;52550142;13377996
8151;9008151;Berlin, Gerichtstr./Hochstr.;5824241;4593434;52543258;13375716
8153;9008153;Berlin, Wiesenstr.;5824721;4593301;52547593;13373891
8158;9008158;Berlin, Schererstr.;5824784;4592979;52548214;13369164
8192;9008192;Berlin, Liesenstr.;5823581;4593380;52537338;13374735
9101;9009101;U Amrumer Str. (Berlin);5824090;4591660;52542202;13349534
9102;9009102;U Leopoldplatz (Berlin);5824580;4592320;52546493;13359395
9103;9009103;U Seestr. (Berlin);5825013;4591808;52550470;13351970
9104;9009104;S+U Wedding (Berlin);5824170;4592780;52542732;13366060
9105;9009105;Berlin, Seestr./Amrumer Str.;5824530;4591280;52546219;13344055
9106;9009106;Berlin, Seestr.;5825049;4591782;52550797;13351596
9151;9009151;Berlin, Gerichtstr.;5824360;4592546;52544478;13362664
9152;9009152;Berlin, Rathaus Wedding;5824727;4592126;52547847;13356577
9153;9009153;Berlin, Luxemburger Str.;5824303;4592031;52544053;13355060
9154;9009154;Berlin, Samoastr.;5824029;4591974;52541601;13354144
9155;9009155;Berlin, Kiautschoustr.;5823974;4592214;52541067;13357665
9156;9009156;Berlin, Antwerpener Str.;5824810;4591590;52548683;13348701
9201;9009201;U Nauener Platz (Berlin);5825150;4592850;52551524;13367365
9202;9009202;U Osloer Str. (Berlin);5825760;4593240;52556938;13373284
9203;9009203;U Pankstr. (Berlin);5825250;4593830;52552255;13381837
9204;9009204;Berlin, Osloer Str./Prinzenallee;5825662;4593946;52555936;13383663
9206;9009206;Berlin, Drontheimer Str.;5825720;4593530;52556529;13377547
9251;9009251;Berlin, Maxstr.;5824911;4592626;52549415;13363997
9252;9009252;Berlin, Exerzierstr.;5825433;4593139;52554017;13371704
9253;9009253;Berlin, Uferstr.;5825357;4593579;52553259;13378167
9254;9009254;Berlin, Ritterlandweg/Soldiner Str.;5826142;4593480;52560328;13376929
10201;9010201;Berlin, Sylter Str.;5824088;4590805;52542327;13336934
10251;9010251;Berlin, Virchow-Klinikum;5824220;4590925;52543493;13338739
11101;9011101;U Rehberge (Berlin);5825689;4591052;52556670;13341013
11102;9011102;U Afrikanische Str. (Berlin);5826146;4590534;52560862;13333502
11103;9011103;Berlin, Otawistr.;5825240;4590780;52552681;13336881
11104;9011104;Berlin, Glasgower Str.;5825500;4591392;52554915;13345972
11105;9011105;Berlin, Londoner Str.;5826436;4591166;52563362;13342898
11151;9011151;Berlin, TŸrkenstr.;5825344;4591437;52553506;13346593
11152;9011152;Berlin, Bristolstr.;5825913;4591767;52558562;13351614
11153;9011153;Berlin, Septimerstr.;5826530;4590880;52564254;13338708
11154;9011154;Berlin, Nachtigalplatz;5825710;4590620;52556930;13334651
11155;9011155;Berlin, Transvaalstr.;5825030;4590920;52550771;13338887
11201;9011201;Berlin, Louise-Schroeder-Platz;5825755;4592719;52556982;13365603
11206;9011206;Berlin, HollŠnderstr./Aroser Allee;5826308;4591905;52562088;13353757
11207;9011207;Berlin, Brienzer Str.;5826300;4592300;52561949;13359578
11251;9011251;Berlin, Iranische Str.;5825542;4592747;52555063;13365956
11252;9011252;Berlin, Osram-Hšfe;5825380;4592230;52553696;13358291
12101;9012101;S Anhalter Bahnhof (Berlin);5819937;4593967;52504499;13382355
12102;9012102;U Kochstr./Checkpoint Charlie (Berlin);5820190;4594540;52506673;13390863
12103;9012103;U Hallesches Tor (Berlin);5819201;4594620;52497774;13391760
12104;9012104;Berlin, Lindenstr./Oranienstr.;5820232;4595049;52506962;13398369
12105;9012105;Berlin, Abgeordnetenhaus;5820162;4593780;52506553;13379666
12106;9012106;Berlin, MehringbrŸcke;5819220;4594450;52497974;13389263
